number,SMILES,SPLIT
1,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,train
2,CC1=NN(C(=C1C(=O)NC2=CC=CC=C2C(C)CC(C)C)F)C,test_scaffolds
3,CC1C2=C(C=CC=C2NC(=O)C3=C(N(N=C3C)C)Cl)C(O1)(C)C,train
4,CC(C)CC(C)C1=C(C=CS1)NC(=O)C2=CN(N=C2C(F)(F)F)C,train
5,CN1C=C(C(=N1)C(F)F)C(=O)NC2=C(C=C(C=C2)F)C3=CC(=C(C=C3)Cl)Cl,test_scaffolds
6,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC3=C2C4CCC3C4=C(Cl)Cl,train
7,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C,train
8,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3CC3C4CC4,train
9,CC1CC(C2=C(C=CC(=C12)NC(=O)C3=CN(N=C3C(F)F)C)F)(C)C,train
10,CC1CC(C2=C1C(=CC=C2)NC(=O)C3=CN(N=C3C(F)F)C)(C)C,train
11,CC1=NC(=C(S1)C(=O)NC2=C(C=C(C=C2Br)OC(F)(F)F)Br)C(F)(F)F,train
12,CC1=C(SC=C1)C(=O)NC(C)(C)C(=O)C2=C(C=C(C=C2)OC(C)C)C,train
13,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,train
14,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F,train
15,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,train
16,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,train
17,C1=CC=C(C(=C1)C2=CC(=C(C=C2)F)F)NC(=O)C3=NC=CN=C3C(F)(F)F,train
18,CC(C)C1=C(C=C(C=C1)Cl)CN(C2CC2)C(=O)C3=C(N(N=C3C(F)F)C)F,train
19,CC1=C(C=CO1)C(=O)NC2=CC=CC=C2,train
20,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,train
21,CC(CC1=C(C=C(C=C1Cl)Cl)Cl)N(C(=O)C2=CN(N=C2C(F)F)C)OC,train
22,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,train
23,CC1=CC=CC=C1C(=O)NC2=CC(=CC=C2)OC(C)C,train
24,C1CC(C1C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=C(N=CC=C3)C(F)(F)F,train
